t,ref_lin,ref_ang
1748462124.210619,1.0,0.0
1748462128.691405,0.0,1.5708
1748462135.8806827,1.0,0.0
1748462140.5022125,0.0,0.0
1748462140.5076165,0.0,1.5708
1748462147.7007685,1.0,0.0
1748462152.3262498,0.0,0.0
1748462152.3320525,0.0,1.5708
1748462159.5680065,1.0,0.0
1748462163.8877964,0.0,0.0
1748462163.8940752,0.0,1.5708
1748462171.0766392,1.0,0.0
1748462175.7016435,0.0,0.0
1748462175.7069607,0.0,1.5708
1748462182.8879519,1.0,0.0
1748462187.5141015,0.0,0.0
1748462187.5219717,0.0,1.5708
1748462194.677603,1.0,0.0
1748462199.3046558,0.0,0.0
1748462199.3105013,0.0,1.5708
1748462206.549462,1.0,0.0
1748462210.9188778,0.0,0.0
1748462210.9247239,0.0,1.5708
1748462218.1650002,1.0,0.0
